"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.BELSPP","correlations.FLATWORM","correlations.PELFEM","correlations.PLASCA","correlations.Coleopterans","correlations.Pomacea","correlations.Odonata","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.0007538572653,54.0310905092247,56.3263296682739,58.6506375945824,61.8446042706929,69.7390875534278,59.5382577868958,4.19685052069943,1,-0.0261301787861201,-0.111673997462861,0.116151509766248,0.053817952201142,0.0820519981831817,-0.0722967469354709,-0.0447580396134135,0.62689242668635,0.670431302092849
"BELSPP",1.00175926861573,0.0161754910620763,0.0627618344851145,0.129338564811816,0.223216526254837,0.465087204667602,0.160596266197122,0.125696817554067,-0.0261301787861201,1,-0.312399925384483,-0.176110236980283,-0.210567417982456,-0.137576119517893,-0.145656312394132,-0.213094047201383,0.0432190752188521,-0.0411918774166898
"FLATWORM",1.00689365233239,0.020066516231428,0.0717340730986405,0.126939985676031,0.206160697082619,0.373191594119897,0.147577352214268,0.0949819550199057,-0.111673997462861,-0.312399925384483,1,-0.0359358034898757,-0.24884446924491,-0.0323898177908367,-0.0398798511748253,-0.151106824792242,-0.0639283696292638,-0.0281397261506447
"PELFEM",0.999892645288742,0.0149106366380283,0.0574448164200707,0.110075586934458,0.194569040730891,0.421140435080051,0.139441057900583,0.109451786781098,0.116151509766248,-0.176110236980283,-0.0359358034898757,1,-0.161706065392214,-0.157006741573696,-0.287807974831366,-0.169116279859292,0.0586396378679829,0.118895411897399
"PLASCA",1.00040888059414,0.0155606086785643,0.054565931594993,0.109047100749784,0.189353623954159,0.426232684491237,0.137782194277644,0.108809814045052,0.053817952201142,-0.210567417982456,-0.24884446924491,-0.161706065392214,1,-0.135333946309362,-0.0973497641357004,-0.148217154578561,0.0277697963568917,-0.00846394000385307
"Coleopterans",0.999894744468721,0.0149990610521722,0.0518346677844667,0.0974815159600768,0.1689685598963,0.394770357077578,0.126014103427386,0.100716941273038,0.0820519981831817,-0.137576119517893,-0.0323898177908367,-0.157006741573696,-0.135333946309362,1,-0.251878928418721,-0.185541813095277,-0.00318573401423458,0.0177164192355209
"Pomacea",1.0000905731691,0.0130772176814201,0.0599691959389089,0.12681779410672,0.21009914360862,0.387475689698378,0.149405939205503,0.108958221577952,-0.0722967469354709,-0.145656312394132,-0.0398798511748253,-0.287807974831366,-0.0973497641357004,-0.251878928418721,1,-0.171459230304151,-0.0228254768489232,0.0320377230662247
"Odonata",1.00077353663048,0.0157319212231412,0.0543527123014389,0.108743475825607,0.191291153153903,0.450911069417572,0.139183086777494,0.113144321941174,-0.0447580396134135,-0.213094047201383,-0.151106824792242,-0.169116279859292,-0.148217154578561,-0.185541813095277,-0.171459230304151,1,-0.0529625998898251,-0.0841139718865634
"sd[d13C]",1.00036355717903,1.04253848756164,1.55470001978401,1.92736954551994,2.52098431745171,4.45772776672549,2.1217446960555,0.85256202210117,0.62689242668635,0.0432190752188521,-0.0639283696292638,0.0586396378679829,0.0277697963568917,-0.00318573401423458,-0.0228254768489232,-0.0529625998898251,1,-0.041772840916868
"sd[d15N]",1.00124093149341,0.28688973845301,0.660542082225647,0.878095987173396,1.15757523032541,2.06919998921372,0.954146370327143,0.445501063777972,0.670431302092849,-0.0411918774166898,-0.0281397261506447,0.118895411897399,-0.00846394000385307,0.0177164192355209,0.0320377230662247,-0.0841139718865634,-0.041772840916868,1
