"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.AMPHIPOD","correlations.COPEPOD","correlations.EPHEME","correlations.OSTRACOD","correlations.PLASCA","correlations.Pomacea","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",0.999893795573606,18.7205341721154,24.7730056091299,28.0822049307381,31.2019474931924,36.6606520460048,27.8703954415695,4.67819902208744,1,0.0195436196255005,-0.0168620479256774,-0.0537561869629599,-0.00693223936477005,0.00230865549076816,0.0535611644798989,0.590934065267938,0.612199693825675
"AMPHIPOD",1.00527599768352,0.0150514221858413,0.0596166016417823,0.116397415777255,0.225450165774046,0.533483892656784,0.163177371912834,0.142320026116104,0.0195436196255005,1,-0.193953436737366,-0.20383726176098,-0.207063451351309,-0.174231109600602,-0.207300280648233,0.00345014258930914,0.0476251088980974
"COPEPOD",1.00320511245149,0.0157433423605759,0.0606377581861968,0.117677611834493,0.233295154739235,0.557278127479342,0.168418419471016,0.146310680652491,-0.0168620479256774,-0.193953436737366,1,-0.217388981676254,-0.179315440966975,-0.198237358723205,-0.228964651620041,-0.0252076057892551,-0.0379358546949038
"EPHEME",1.00005412746825,0.0160205090434114,0.0633365774791605,0.123698757509373,0.237060057814004,0.534112379206407,0.16871674714884,0.141992760789285,-0.0537561869629599,-0.20383726176098,-0.217388981676254,1,-0.166163398037923,-0.204638368069939,-0.190147112130502,-0.0119465446543804,-0.0150312825079697
"OSTRACOD",1.00228741612527,0.0163144585387674,0.0587694258778455,0.124289751685282,0.221550643451398,0.548188656619781,0.164091973936367,0.139438222332897,-0.00693223936477005,-0.207063451351309,-0.179315440966975,-0.166163398037923,1,-0.217842372074845,-0.191565342988671,0.015590239263061,-0.037520239669498
"PLASCA",1.00670870794273,0.01312709582467,0.0632301414784208,0.124742383006732,0.227009462510112,0.568931607088978,0.168736681853802,0.145555840269095,0.00230865549076816,-0.174231109600602,-0.198237358723205,-0.204638368069939,-0.217842372074845,1,-0.217784915956302,-0.050795134933216,0.0280812298448203
"Pomacea",1.00011261267088,0.0156621560056639,0.0569546520373421,0.117927501565952,0.227702127895597,0.555102977092151,0.16685880567714,0.148413866114026,0.0535611644798989,-0.207300280648233,-0.228964651620041,-0.190147112130502,-0.191565342988671,-0.217784915956302,1,0.0681411649571171,0.0138202436859029
"sd[d13C]",1.00147013125796,1.85137636034735,7.17339142640352,14.15302487905,25.1469835935134,58.5608566506084,18.1804041680191,15.3235167072716,0.590934065267938,0.00345014258930914,-0.0252076057892551,-0.0119465446543804,0.015590239263061,-0.050795134933216,0.0681411649571171,1,-0.0759140191620789
"sd[d15N]",1.00265036866674,1.91164424289049,6.29867775415648,13.8086834202046,25.018856477208,61.0192610883347,18.2643896445121,16.1210456223667,0.612199693825675,0.0476251088980974,-0.0379358546949038,-0.0150312825079697,-0.037520239669498,0.0280812298448203,0.0138202436859029,-0.0759140191620789,1
