"","gelman","quantiles.2.5.","quantiles.25.","quantiles.50.","quantiles.75.","quantiles.97.5.","statistics.mean","statistics.sd","correlations.deviance","correlations.Sphaeriidae","correlations.Cyprinodont","correlations.Procambarus","correlations.Pomacea","correlations.Odonata","correlations.Green.Algae","correlations.Small.Snails","correlations.sd.d13C.","correlations.sd.d15N."
"deviance",1.00860744859489,96.7688995231162,99.0279538107629,101.328913155537,104.605919085003,113.226646720725,102.34480299507,4.39487296867852,1,0.267050536076163,0.234201669775828,0.132194257835895,0.171729823700223,0.134822807431466,-0.535900690266054,0.225976429432129,0.648612156053396,0.378474227044016
"Sphaeriidae",0.999888439203658,0.0107446668296706,0.0376887963429579,0.0683689298743265,0.106921527625198,0.207060076295449,0.0792450734513675,0.0536518694289462,0.267050536076163,1,0.247517282881325,-0.123844263706436,-0.192469650411159,-0.0269060635648586,-0.24544348458078,0.00322038643563563,0.159288977195618,0.0622891006542481
"Cyprinodont",1.00016306815864,0.0111233621909248,0.035548565330326,0.0622880186199984,0.0940380620602424,0.176358617320845,0.0700131791881906,0.0441689217446589,0.234201669775828,0.247517282881325,1,-0.17976089939653,-0.0257227523223009,-0.101866360305943,-0.170829221862325,-0.0540642347954207,0.103478651258923,0.114589737550577
"Procambarus",1.00353250266515,0.0118983665182979,0.0402877285976686,0.0772454291875917,0.132074364568815,0.308796622421854,0.0978705149546742,0.0781735126498284,0.132194257835895,-0.123844263706436,-0.17976089939653,1,-0.11612939932297,-0.126550419755358,-0.207424875130977,-0.125702555833847,0.138580761651481,-0.0053804603330146
"Pomacea",1.00019977589172,0.010436623810333,0.0393125595361057,0.0760123913551651,0.131542871737629,0.302702722326669,0.09813503442518,0.0797161671770409,0.171729823700223,-0.192469650411159,-0.0257227523223009,-0.11612939932297,1,-0.104136359098906,-0.255393144293342,-0.133522709517488,0.127932421848403,0.0264650412044162
"Odonata",1.00221403772578,0.0129634872059262,0.0550458964405609,0.104901147942565,0.198987735813431,0.486997397983798,0.144974031655306,0.123552160012721,0.134822807431466,-0.0269060635648586,-0.101866360305943,-0.126550419755358,-0.104136359098906,1,-0.634931423385667,-0.0819826075562139,0.00326484212330664,-0.116196417461632
"Green Algae",1.0140942471462,0.0843859500004283,0.334770867003559,0.436275403914617,0.537209366702637,0.679003816498508,0.426869567100527,0.14845902387387,-0.535900690266054,-0.24544348458078,-0.170829221862325,-0.207424875130977,-0.255393144293342,-0.634931423385667,1,-0.202405138371935,-0.256348969453423,0.048496270046246
"Small Snails",0.999966940073277,0.00946441897709707,0.0368815724071204,0.0663639282363629,0.111677391765076,0.239813909812357,0.0828925992247551,0.0628637056925274,0.225976429432129,0.00322038643563563,-0.0540642347954207,-0.125702555833847,-0.133522709517488,-0.0819826075562139,-0.202405138371935,1,0.0557654108040512,-0.0466995148946185
"sd[d13C]",1.00040156859063,0.604884695235418,0.966552845993024,1.1857336934813,1.44943729066352,2.19823444051863,1.24349262487625,0.411329571107268,0.648612156053396,0.159288977195618,0.103478651258923,0.138580761651481,0.127932421848403,0.00326484212330664,-0.256348969453423,0.0557654108040512,1,0.0118449782142351
"sd[d15N]",1.00117341950864,0.704503965484427,0.974108928181006,1.12242270082723,1.31593995935596,1.78297858178562,1.15845810451954,0.275245747989432,0.378474227044016,0.0622891006542481,0.114589737550577,-0.0053804603330146,0.0264650412044162,-0.116196417461632,0.048496270046246,-0.0466995148946185,0.0118449782142351,1
