"","names","interval","lower","upper"
"X99.","SRS_Marsh_Dry.N.flo1","99%",0.791870322783419,16.9331690265035
"X95.","SRS_Marsh_Dry.N.flo1","95%",1.06059156734242,10.6192538079364
"X50.","SRS_Marsh_Dry.N.flo1","50%",2.01835104447553,4.32528795554873
"X99..1","SRS_Marsh_Dry.N.vir1","99%",0.641781330075276,31.4890982607945
"X95..1","SRS_Marsh_Dry.N.vir1","95%",1.06021027635415,17.1358515312418
"X50..1","SRS_Marsh_Dry.N.vir1","50%",2.33041705379598,5.77854167575978
"X99..2","SRS_Marsh_Dry.R.gry1","99%",1.14282988426512,7.69046719153783
"X95..2","SRS_Marsh_Dry.R.gry1","95%",1.40076139760864,5.80931370328942
"X50..2","SRS_Marsh_Dry.R.gry1","50%",2.15032864356862,3.45763807238301
"X99..3","SRS_Marsh_Dry.S.lac1","99%",0.905539240433574,6.8610136504496
"X95..3","SRS_Marsh_Dry.S.lac1","95%",1.11836601517001,5.09413541121114
"X50..3","SRS_Marsh_Dry.S.lac1","50%",1.74618345191688,2.90794448529119
"X99..4","SRS_Pond_Dry.A.mea1","99%",0.175398086028676,8.71451454247569
"X95..4","SRS_Pond_Dry.A.mea1","95%",0.282102184914855,4.44384712571222
"X50..4","SRS_Pond_Dry.A.mea1","50%",0.593405666429908,1.47818480471105
"X99..5","SRS_Pond_Dry.R.gry2","99%",0.683095726666826,7.23946455748427
"X95..5","SRS_Pond_Dry.R.gry2","95%",0.853704404649853,5.02721361687433
"X50..5","SRS_Pond_Dry.R.gry2","50%",1.3967528715001,2.53842678826541
"X99..6","SRS_Pond_Dry.S.lac1","99%",1.61104460846658,14.3613276945649
"X95..6","SRS_Pond_Dry.S.lac1","95%",2.02868046877804,10.4019176105243
"X50..6","SRS_Pond_Dry.S.lac1","50%",3.2756155650711,5.63309351157025
"X99..7","SRS_Pond_Wet.A.gry1","99%",1.03712942313135,25.4809639670432
"X95..7","SRS_Pond_Wet.A.gry1","95%",1.48204281419965,15.5129161113372
"X50..7","SRS_Pond_Wet.A.gry1","50%",2.99402961517113,6.35981173972973
"X99..8","SRS_Pond_Wet.N.vir1","99%",0.255750019418995,5.15303181883802
"X95..8","SRS_Pond_Wet.N.vir1","95%",0.338898757602585,3.20468628683388
"X50..8","SRS_Pond_Wet.N.vir1","50%",0.615097986225717,1.30916092957464
